acces|Administration Users/Operators (acces) 
agrovoc|Agrovoc Thesaurus
biblo|Cepal|Y
copies|Collection inventory
dcdspace|dSpace Bridge
doaj|DOAJ: Directory of Open Access Journals
experts|Experts
isadg|ISAD(G): International Standard Archival Description
loanobjects|Loan objects
marc|MARC|Y
marcuni|MARCUNI|Y
projects|Projects
providers|Providers
purchaseorder|Purchase Orders
rda|RDA: Resource Description & Access|Y
reserve|Reservations
suggestions|Suggestions (Acquisitions)
suspml|Suspensions and fines
trans|Transactions Loans
unicode|UNICODE
users|Patrons
